Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1.376,0.00244,-0.04417,0.99846,0.46326,0.22156,0.4563
1.38,0.00221,-0.04349,0.99655,0.50354,0.30212,0.40262
1.384,0.00183,-0.04478,0.9996,0.40283,0.30212,0.36236
1.388,0.00237,-0.04395,1.00105,0.14099,0.4834,0.3892
1.392,0.00275,-0.04379,1.00319,0.40283,0.64453,0.55024
1.396,0.00137,-0.04753,1.0051,0.40283,0.60425,0.4563
1.4,0.00214,-0.04501,1.00029,0.10071,0.54382,0.33551
1.404,0.00168,-0.04227,0.9967,0.20142,0.34241,0.34893
1.408,0.0016,-0.04486,0.99785,0.50354,0.2417,0.18789
1.412,0.00168,-0.04311,1.00006,0.2417,0,0.21473
1.416,0.00214,-0.04517,1.00449,0.18127,0,0.20131
1.42,0.00267,-0.04631,1.00693,-0.06042,0.04028,0.37578
1.424,0.00145,-0.04494,1.00578,-0.18127,0.10071,0.37578
1.428,0.00084,-0.04593,1.00533,-0.40283,0.18127,0.36236
1.432,0,-0.04387,1.00426,-0.62439,0.02014,0.4563
1.436,0.00114,-0.04395,1.00517,-0.74524,0.10071,0.42946
1.44,0.00061,-0.04639,1.00891,-0.56396,0.08057,0.50998
1.444,0.00031,-0.04509,1.01067,-0.74524,0.06042,0.53682
1.448,0.00107,-0.04616,1.01257,-1.14807,0.10071,0.50998
1.452,0.00107,-0.04723,1.01318,-1.4502,0,0.33551
1.456,0.00061,-0.04585,1.01097,-1.36963,0,0.5234
1.46,0.00099,-0.04578,1.01051,-1.85303,0.10071,0.65761
1.464,0.00084,-0.04616,1.01234,-2.276,-0.12085,0.68445
1.468,0.00023,-0.04646,1.0141,-2.90039,-0.16113,0.72471
1.472,0.0013,-0.04662,1.017,-3.16223,-0.14099,0.81866
1.476,0.00252,-0.05013,1.01936,-3.2428,-0.34241,0.9126
1.48,0.00259,-0.04784,1.01784,-3.58521,-0.34241,0.92602
1.484,0.00183,-0.04669,1.01494,-3.9679,-0.38269,0.95286
1.488,-0.00023,-0.04738,1.01357,-4.29016,-0.26184,0.95286
1.492,0.00038,-0.04723,1.01349,-4.63257,-0.26184,0.93944
1.496,0.00206,-0.04555,1.01791,-5.11597,-0.26184,0.8455
1.5,0.00076,-0.0499,1.0231,-5.47852,-0.34241,1.07365
1.504,0.00092,-0.04936,1.02173,-5.98206,-0.42297,1.08707
1.508,0.00275,-0.04707,1.01822,-6.4856,-0.34241,0.9797
1.512,0.00168,-0.04822,1.01463,-6.828,-0.4834,1.10049
1.516,-0.00038,-0.04402,1.01112,-7.37183,-0.52368,1.24811
1.52,0.00191,-0.04494,1.01418,-7.61353,-0.34241,1.00654
1.524,0.0032,-0.04898,1.02074,-7.95593,-0.54382,0.80523
1.528,0.00198,-0.04654,1.01959,-8.25806,-0.46326,0.92602
1.532,0.00183,-0.04555,1.01639,-8.43933,-0.38269,0.9797
1.536,0.00214,-0.047,1.01357,-8.82202,-0.56396,0.96628
1.54,0.00183,-0.04433,1.0099,-8.98315,-0.60425,0.95286
1.544,0.0032,-0.04463,1.01074,-9.18457,-0.62439,0.77839
1.548,0.00099,-0.04562,1.01128,-9.56726,-0.76538,0.76497
1.552,0.00328,-0.04387,1.01059,-9.66797,-0.56396,0.77839
1.556,0.0029,-0.04631,1.01166,-9.72839,-0.44312,0.69787
1.56,0.00191,-0.04578,1.00899,-10.17151,-0.56396,0.60393
1.564,0.00351,-0.04349,1.00555,-10.21179,-0.32227,0.63077
1.568,0.00259,-0.04349,1.00555,-10.13123,-0.4834,0.5234
1.572,0.0032,-0.0441,1.00494,-10.41321,-0.54382,0.53682
1.576,0.00252,-0.04074,1.00029,-10.63477,-0.4834,0.28183
1.58,0.00237,-0.03883,1.00105,-10.49377,-0.44312,0.21473
1.584,0.00282,-0.04799,1.00471,-10.47363,-0.32227,0.04026
1.588,0.00366,-0.04166,1.0041,-10.61462,-0.34241,0.09394
1.592,0.00381,-0.0444,1.00128,-10.75562,-0.38269,0.10736
1.596,0.00168,-0.04356,0.9964,-10.83618,-0.44312,0.12079
1.6,0.00221,-0.0396,0.9948,-10.77576,-0.4834,0.04026
1.604,0.0013,-0.0425,0.99747,-10.57434,-0.32227,-0.04026
1.608,0.00313,-0.04395,0.9964,-10.3125,-0.46326,-0.12079
1.612,0.00374,-0.04036,0.99411,-10.29236,-0.68481,-0.21473
1.616,-0.00099,-0.04013,0.9951,-10.05066,-0.58411,-0.33551
1.62,0.00191,-0.04448,0.99335,-9.94995,-0.54382,-0.20131
1.624,0.00214,-0.03586,0.98816,-9.78882,-0.60425,-0.0671
1.628,0.0016,-0.03891,0.99274,-9.22485,-0.64453,-0.48314
1.632,0.00458,-0.04745,1.00113,-9.12415,-0.52368,-0.3892
1.636,0.00351,-0.03738,0.9967,-9.0033,-0.60425,-0.36236
1.64,0.00107,-0.04143,0.99014,-8.74146,-0.52368,-0.5234
1.644,0.00153,-0.04204,0.97977,-8.49976,-0.54382,-0.60393
1.648,-0.00038,-0.03067,0.97336,-8.47961,-0.44312,-0.69787
1.652,0.0042,-0.03822,0.98671,-7.99622,-0.40283,-0.9126
1.656,0.00725,-0.04898,0.99609,-7.63367,-0.64453,-0.9797
1.66,0.00183,-0.03166,0.98709,-7.63367,-0.44312,-0.9797
1.664,0.00481,-0.04303,0.98877,-7.13013,-0.22156,-1.01996
1.668,0.00496,-0.04509,0.98221,-7.08984,-0.12085,-0.93944
1.672,0.00038,-0.02876,0.96909,-6.54602,-0.10071,-0.89918
1.676,0.00473,-0.0444,0.98434,-5.80078,-0.16113,-0.93944
1.68,0.00862,-0.03937,0.98778,-5.65979,-0.22156,-1.38232
1.684,0.0045,-0.03937,0.98656,-5.2771,-0.26184,-1.34206
1.688,0.00336,-0.04494,0.98793,-4.95483,-0.10071,-0.96628
1.692,0.00328,-0.03365,0.9745,-4.53186,-0.04028,-0.99312
1.696,0.00465,-0.03983,0.9761,-3.88733,0,-0.92602
1.7,0.00465,-0.03937,0.97969,-3.62549,-0.34241,-0.99312
1.704,0.00648,-0.03525,0.98175,-3.40393,-0.44312,-1.06023
1.708,0.00549,-0.04433,0.98862,-3.06152,-0.2417,-1.26153
1.712,0.00427,-0.0399,0.98343,-2.92053,-0.2417,-1.26153
1.716,0.00778,-0.03563,0.97572,-2.31628,-0.14099,-0.96628
1.72,0.0045,-0.03922,0.97694,-1.26892,-0.14099,-0.65761
1.724,0.00908,-0.0412,0.98328,-1.14807,-0.12085,-0.88576
1.728,0.00671,-0.03952,0.9819,-0.94666,-0.38269,-0.93944
1.732,0.00496,-0.03998,0.97443,-0.36255,-0.52368,-0.81866
1.736,0.00763,-0.03708,0.97351,0.18127,-0.58411,-0.69787
1.74,0.00282,-0.03654,0.98061,0.80566,-0.32227,-0.68445
1.744,0.00992,-0.04639,0.989,1.16821,-0.16113,-0.68445
1.748,0.00854,-0.03723,0.98198,1.12793,-0.34241,-0.65761
1.752,0.00511,-0.03807,0.9758,1.91345,-0.22156,-0.71129
1.756,0.00732,-0.04166,0.97717,2.23572,-0.32227,-0.63077
1.76,0.00359,-0.03677,0.97855,2.49756,-0.28198,-0.73813
1.764,0.00656,-0.04128,0.98816,3.10181,-0.30212,-0.67103
1.768,0.00999,-0.04166,0.99503,3.22266,-0.36255,-0.4563
1.772,0.00816,-0.04257,0.99594,3.62549,-0.46326,-0.30867
1.776,0.00832,-0.04074,0.98579,3.86719,-0.28198,-0.12079
1.78,0.00572,-0.03815,0.97641,4.04846,-0.34241,-0.20131
1.784,0.00572,-0.03639,0.97824,4.27002,-0.32227,-0.09394
1.788,0.00725,-0.04166,0.99113,4.71313,-0.04028,-0.20131
1.792,0.00931,-0.04471,1.00288,4.63257,-0.10071,-0.0671
1.796,0.01015,-0.04463,1.00174,4.57214,-0.08057,0.01342
