time,mag,fwd,gyro,hasGyro
27.38391,0.9288515,-0.1918696,19.38631,True
27.4039,0.9510058,-0.2026162,19.73407,True
27.42389,0.9136034,-0.1972259,19.97862,True
27.44389,0.9218558,-0.2049115,20.27238,True
27.46388,0.9419039,-0.2188786,20.33476,True
27.48388,0.9419039,-0.2219094,20.62089,True
27.50388,0.9578581,-0.2428605,20.72712,True
27.52387,0.9733462,-0.2694089,20.72338,True
27.54387,0.9633783,-0.2731905,20.71288,True
27.56386,0.9339512,-0.2624786,20.59477,True
27.58386,0.9642817,-0.3019737,20.45882,True
27.60385,0.9642817,-0.2935012,20.30692,True
27.62385,1.013512,-0.3572585,20.09993,True
27.64384,1.049299,-0.4067937,19.52645,True
27.66384,1.088842,-0.4277352,19.29639,True
27.68383,1.051217,-0.3851229,18.68731,True
27.70383,1.032324,-0.3144397,18.21574,True
27.72382,1.032324,-0.265795,17.52579,True
27.74382,1.034151,-0.1673005,16.71963,True
27.76381,1.056336,-0.08578129,16.27855,True
27.78381,1.066185,-0.0515426,15.2287,True
27.8038,1.091644,-0.05365248,14.44647,True
27.8238,1.066581,-0.08412234,13.57567,True
27.84379,1.028496,-0.1361074,13.28739,True
27.86379,1.028496,-0.1271794,12.64878,True
27.88378,1.00326,-0.1610466,12.23979,True
27.90378,0.9750157,-0.1725236,11.99682,True
27.92377,0.9740937,-0.1858542,11.72753,True
27.94377,0.9903613,-0.1963406,11.40968,True
27.96376,1.012698,-0.1807462,11.13613,True
27.98376,1.012698,-0.1691574,10.92251,True
28.00375,0.951897,-0.1616492,10.63965,True
28.02374,0.9701461,-0.1423502,10.46642,True
28.04374,0.9897082,-0.1316512,10.05044,True
28.06373,0.9900985,-0.1245418,9.6475,True
28.08373,0.965844,-0.1297316,8.81952,True
28.10372,0.965844,-0.1153036,8.039208,True
28.12372,1.007042,-0.1144884,6.945537,True
28.14371,0.9740631,-0.1343945,6.484767,True
28.16371,1.02075,-0.1437638,5.278147,True
28.1837,1.075088,-0.1625149,4.269541,True
28.2037,1.137789,-0.1580073,3.50648,True
28.22369,1.137789,-0.148379,2.521743,True
28.24369,1.150686,-0.1532054,1.376179,True
28.26369,1.144591,-0.1552274,0.5163423,True
28.28368,1.186026,-0.1405832,-0.1334523,True
28.30368,1.181518,-0.123872,-1.002661,True
28.32368,1.162797,-0.1090575,-1.418414,True
28.34368,1.162797,-0.09602652,-2.511778,True
28.36368,1.18157,-0.06633358,-3.59916,True
28.38367,1.134608,-0.06810801,-3.812621,True
28.40367,1.150173,-0.02564701,-4.905911,True
28.42366,1.146333,0.008597989,-6.023935,True
28.44366,1.150923,0.05645444,-6.9168,True
28.46365,1.14975,0.09473868,-7.355117,True
28.48364,1.14975,0.1044737,-8.41515,True
28.50364,1.153937,0.1382132,-8.980154,True
28.52363,1.138296,0.1592519,-9.755603,True
28.54363,1.117771,0.1669228,-10.49985,True
28.56362,1.13275,0.1822045,-11.39226,True
28.58362,1.147465,0.1968688,-11.92113,True
28.60361,1.147465,0.2043981,-12.56701,True
28.62361,1.126057,0.2019282,-12.90707,True
28.6436,1.122189,0.2020406,-13.75959,True
28.6636,1.117999,0.2101196,-14.36216,True
28.68359,1.105246,0.2106143,-15.05791,True
28.70358,1.095619,0.2181284,-15.32924,True
28.72358,1.095619,0.2259338,-15.90751,True
28.74357,1.059025,0.2184989,-16.34104,True
28.76357,1.011259,0.2132152,-16.64613,True
28.78356,0.994936,0.2217624,-17.02596,True
28.80355,0.9660361,0.2172775,-17.50007,True
28.82354,0.9616414,0.2254488,-17.6725,True
28.84354,0.9616414,0.2261111,-18.12532,True
28.86353,0.9504474,0.2302148,-18.46519,True
28.88353,0.9258606,0.2284503,-18.62682,True
28.90352,0.930065,0.2486444,-18.98615,True
28.92352,0.890458,0.24626,-19.12499,True
28.94351,0.9066056,0.2619748,-19.44229,True
28.9635,0.9066056,0.259854,-19.65926,True
28.9835,0.9401387,0.2770982,-19.88066,True
29.0035,0.9288661,0.283121,-19.93588,True
29.02349,0.9005286,0.2811311,-20.074,True
29.04349,0.882064,0.2834987,-20.15158,True
29.06348,0.858472,0.2790521,-20.21603,True
29.08348,0.858472,0.2735792,-20.29774,True
29.10347,0.8874531,0.2803105,-20.42219,True
29.12347,0.8953543,0.2800321,-20.52471,True
29.14346,0.8855549,0.2694969,-20.58945,True
29.16346,0.8931817,0.2704297,-20.64409,True
29.18346,0.8929996,0.2725329,-20.655,True
29.20345,0.8929996,0.2667943,-20.64714,True
29.22345,0.9378463,0.291226,-20.59714,True
29.24345,0.9798665,0.3079712,-20.50247,True
29.26345,0.984257,0.3104665,-20.42963,True
29.28345,0.9384698,0.2839993,-20.17613,True
29.30344,0.9981192,0.2904036,-20.06579,True
29.32344,0.9542133,0.2679423,-19.77295,True
29.34344,0.9542133,0.2654699,-19.52617,True
29.36343,0.8753096,0.2295008,-19.32601,True
29.38343,0.8928936,0.2336922,-19.03749,True
29.40343,0.9214154,0.2394938,-18.6029,True
29.42343,0.9262331,0.2273511,-18.18643,True
29.44343,0.9495738,0.2189903,-17.83557,True
29.46342,0.9495738,0.2122277,-17.31242,True
29.48342,0.961274,0.2021859,-17.03176,True
29.50341,0.9655828,0.1899639,-16.28514,True
29.52341,0.9791996,0.1859104,-15.45603,True
29.5434,0.9617087,0.179939,-14.73665,True
29.5634,0.9491459,0.1745475,-14.33985,True
29.58339,0.9491459,0.16193,-13.33426,True
29.60339,0.9623733,0.1540038,-12.50216,True
29.62339,1.007478,0.1626401,-11.87223,True
29.64339,1.031914,0.1678788,-10.99497,True
29.66338,1.032529,0.1697088,-9.872581,True
29.68338,1.021337,0.1663855,-9.41491,True
29.70337,1.021337,0.1545987,-8.339116,True
29.72336,1.067162,0.1560782,-7.487589,True
29.74335,1.098335,0.1517301,-6.858185,True
29.76335,1.13523,0.1567777,-6.001496,True
29.78334,1.048844,0.1100148,-4.978504,True
29.80333,1.114791,0.1134599,-4.55998,True
29.82332,1.114791,0.0986359,-3.724471,True
29.84332,1.12783,0.09100637,-2.703256,True
29.86331,1.143847,0.082482,-2.286978,True
29.8833,1.19691,0.08211911,-1.229679,True
29.90329,1.204457,0.07504889,-0.3566767,True
29.92328,1.241932,0.06513999,0.3150049,True
29.94328,1.241932,0.05798168,1.231459,True
29.96327,1.280606,0.05777407,2.390791,True
29.98327,1.164338,0.03073507,3.336463,True
30.00327,1.207342,0.006698429,4.041869,True
30.02326,1.23076,-0.02246142,4.981101,True
30.04325,1.186302,-0.04492039,5.446832,True
30.06325,1.186302,-0.0564479,6.571051,True
30.08324,1.152725,-0.07999057,7.652942,True
30.10324,1.168496,-0.1081341,8.526695,True
30.12322,1.151847,-0.121992,8.965335,True
30.14326,1.133668,-0.138178,10.04243,True
30.16332,1.116791,-0.1512627,10.46086,True
30.18337,1.116791,-0.1594134,11.43158,True
30.20341,1.089699,-0.1716305,12.19352,True
30.22346,1.066467,-0.1823161,13.13377,True
30.24351,1.046825,-0.1792133,13.49247,True
30.26355,1.004663,-0.1709175,14.33169,True
30.28359,0.9992763,-0.1759834,14.94506,True
30.30364,0.9992763,-0.1830216,15.37664,True
30.32368,1.049404,-0.1970084,15.92384,True
30.34373,1.064491,-0.2108404,16.19054,True
30.36377,1.0399,-0.2212616,16.83937,True
30.38382,1.037648,-0.2323517,17.49007,True
30.40386,0.9777619,-0.2419962,18.00436,True
30.42391,0.9777619,-0.2485678,18.26489,True
